promptRoleTag,category,title,answer
context-general,context,Certificate of GWA / Ranking,Requires official grades and registrar ranking computation. Do not compute or confirm exact GWA in chat.
context-general,context,Certificate of Grades,Requires an official report of grades. Do not display or compute private grades in chat.
context-general,context,Certificate of Graduation,"Requires grades, graduation clearance, thesis/capstone status, and good moral status."
context-general,context,Certificate of Graduation Candidacy,"Requires grades, graduation clearance, thesis/capstone status, and good moral status."
context-general,context,Certificate of NSTP,"Requires completed NSTP/community service status. If status is incomplete or pending, explain blocker and direct student to NSTP office for completion."
context-general,context,Certificate of NSTP,Requires completed NSTP/community service status. If status is incomplete or pending explain blocker and direct student to NSTP office for completion.
context-general,context,Context Guidance Header,Registrar knowledge base guidance:
context-general,context,Context Unavailable Fallback,"Registrar context is limited. Use verified student/request data first, then provide policy guidance and clearly identify any missing data."
context-general,context,Data Logging & Privacy Policy,"HariKnows stores minimum request-tracking data such as student number, document type, status, and key timestamps. Guardrails: do not disclose other students' records; do not compute or reveal private grades/GWA; treat chatbot output as guidance, not legal certification. Chat/session logs are retained for 30 days."
context-general,context,Data Logging & Privacy Policy,HariKnows stores minimum request-tracking data such as student number document type status and key timestamps. Guardrails: do not disclose other students records do not compute or reveal private grades or GWA and treat chatbot output as guidance not legal certification. Chat or session logs are retained for 30 days.
context-general,context,Document Request Policies & Limitations,All official registrar document requests are on-site only at OUR. HariKnows does not accept online document filing. Tracking lifecycle is Pending -> Prepared -> Claimed -> Disposed. There is no built-in ticket queue and no automated push/email notifications.
context-general,context,Document Requirements Directory,"Requirement mapping: Certificate of Enrollment requires active masterlist. Certificate of Grades/GWA-Ranking/TOR requires official grades. Certificate of NSTP requires completed NSTP status. Course Syllabus requires syllabus data. Course Description requires syllabus plus curriculum data. Graduation Candidacy/Graduation requires grades, clearance, thesis/capstone, and good moral. Completion requires TOR/grades/curriculum. Diploma requires completion plus graduation. Transfer Credentials requires good moral and surrendered ID."
context-general,context,Document Requirements Directory,Requirement mapping: Certificate of Enrollment requires active masterlist. Certificate of Grades GWA-Ranking TOR requires official grades. Certificate of NSTP requires completed NSTP status. Course Syllabus requires syllabus data. Course Description requires syllabus plus curriculum data. Graduation Candidacy Graduation requires grades clearance thesis capstone and good moral. Completion requires TOR grades curriculum. Diploma requires completion plus graduation. Transfer Credentials requires good moral and surrendered ID.
context-general,context,Good Moral Certificate,Requires good moral clearance from OSD.
context-general,context,Guest Mode Tag,Mode: guest
context-general,context,Inquiry & Chatbot Service Scope,"The chatbot handles registrar guidance for admissions processing, graduation information, document requirements, academic catalog lookups, transfer procedures, and official office routing. Responses must not imply that the chatbot can directly approve or complete office workflows."
context-general,context,Inquiry & Chatbot Service Scope,The chatbot handles registrar guidance for admissions processing graduation information document requirements academic catalog lookups transfer procedures and official office routing. Responses must not imply that the chatbot can directly approve or complete office workflows.
context-general,context,List of Offices and Departments,"Offices for routing: College of Technology (CT), College of Nursing (CN), College of Accountancy (CA), Office of Student Discipline (OSD), National Service Training Program Office (NSTP), Admission Office (AO), Information and Communication Technology Office (ICTO), and Office of the University Registrar (OUR)."
context-general,context,List of Offices and Departments,Offices for routing: College of Technology (CT) College of Nursing (CN) College of Accountancy (CA) Office of Student Discipline (OSD) National Service Training Program Office (NSTP) Admission Office (AO) Information and Communication Technology Office (ICTO) and Office of the University Registrar (OUR).
context-general,context,Redirect Note (Guest),Guest mode provides general guidance only.
context-general,context,Redirect Note (Signed In),Question appears out of scope for the helpdesk knowledge base.
context-general,context,Redirect Reply (Guest),I can help with general registrar FAQs and published policies. For account-specific concerns
context-general,context,Redirect Reply (Signed In),I can help with registrar document requests and student record guidance. For this question
context-general,context,Registrar Service Catalog & Office Routing,"Supported topics include admissions processing, document requirements, graduation checks, curriculum and syllabus references, and office routing to OUR/AO/NSTP/ICTO/OSD/college offices."
context-general,context,Registrar Service Catalog & Office Routing,Supported topics include admissions processing document requirements graduation checks curriculum and syllabus references and office routing to OUR AO NSTP ICTO OSD and college offices.
context-general,context,Request Procedures,Must answer these steps: 1) Get a request form at OUR and fill it out. 2) Submit form at OUR and get queue number. 3) Present validated request form at cashier and pay. 4) Return with official receipt to OUR. 5) Monitor status in Transaction History or ask Hari.
context-general,context,Signed-In Status Validation Rule,"For signed-in users, check EnrollmentStatus, NstpStatus, GoodMoralStatus, BirthCertStatus, and Form137Status before giving eligibility advice. Explain findings directly when data is available."
context-general,context,Standard Registrar Pricing & Service Fees,Check published FAQs and registrar cashier references for latest rates.
context-general,context,System Overview & Access Configuration,HariKnows is an AI-powered 24/7 online helpdesk and tracking platform for the Office of the University Registrar (OUR). Active students can authenticate with official student email accounts for account-aware help and request monitoring. Guests can access general registrar procedures only. Alumni without active university email access should be referred to on-site processing for records and requests.
context-general,context,System Overview & Access Configuration,HariKnows is an AI-powered 24/7 online helpdesk and tracking platform for the Office of the University Registrar. Active students can authenticate with official student email accounts for account-aware help and request monitoring. Guests can access general registrar procedures only. Alumni without active university email access should be referred to on-site processing for records and requests.
context-general,context,Transcript of Records (TOR),Requires official report of grades and registrar record validation.
context-general,context,Transfer Credentials / Honorable Dismissal,Requires good moral clearance and surrendered student ID. Processing is on-site at registrar.
context-student,context,BASE PROMPT - Confidence and Uncertainty,Use high-confidence language when HariKnows contains direct evidence. Use uncertainty language only if required records are missing or conflicting.
context-student,context,BASE PROMPT - Eligibility Response Format,When asked about requestable documents or eligibility respond in this order: (1) Eligible now (2) Requires action or clearance (3) Requires on-site verification. Include a short reason per item based on available status fields.
context-student,context,BASE PROMPT - Recommendation Quality,Do not end with generic referrals when sufficient records are available. Recommendations must be specific and actionable tied to exact blockers such as NSTP incomplete Good Moral not cleared or missing admission document.
context-student,context,BASE PROMPT - Signed-In Data First Policy,For signed-in students always prioritize HariKnows student directory and status records before generic policy text. If student-specific data exists answer directly from that data with high confidence.
context-student,context,Signed-In Status Validation Rule,For signed-in users check EnrollmentStatus NstpStatus GoodMoralStatus BirthCertStatus and Form137Status before giving eligibility advice. Explain findings directly when data is available.
context-student,context,can I ask for the requirements for latin honors?,yes
context-student,context,how do i enroll for nstp,Approach NSTP Office for detailed enrollment process
context-unavailable,assistant,Context Unavailable Fallback,"Registrar context is limited. Use verified student/request data first, then provide policy guidance and clearly identify any missing data."
guest-mode-tag,assistant,Guest Mode Tag,Mode: guest
guidance-header,assistant,Context Guidance Header,Registrar knowledge base guidance:
redirect-note-guest,assistant,Redirect Note (Guest),Guest mode provides general guidance only.
redirect-note-signed-in,assistant,Redirect Note (Signed In),Question appears out of scope for the helpdesk knowledge base.
redirect-reply-guest,assistant,Redirect Reply (Guest),I can help with general registrar FAQs and published policies. For account-specific concerns
redirect-reply-signed-in,assistant,Redirect Reply (Signed In),I can help with registrar document requests and student record guidance. For this question
response-guardrail,guardrail,FAQ Link Rule,If a specific FAQ is relevant prefer a concise answer and include one clear FAQ reference link.
response-guardrail,guardrail,No Hidden Ops Mentions,Do not mention internal uncertainty logging triage queues or hidden metadata in user-visible responses.
